Drug,tdc-lipophilicity_astrazeneca,tdc-solubility_aqsoldb,tdc-hydrationfreeenergy_freesolv,tdc-caco2_wang,tdc-pampa_ncats,tdc-approved_pampa_ncats,tdc-hia_hou,tdc-pgp_broccatelli,tdc-bioavailability_ma,tdc-vdss_lombardo,tdc-cyp2c19_veith,tdc-cyp2d6_veith,tdc-cyp3a4_veith,tdc-cyp1a2_veith,tdc-cyp2c9_veith,tdc-cyp2c9_substrate_carbonmangels,tdc-cyp2d6_substrate_carbonmangels
C1=CC(=CC(=C1)O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)O)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)Cl)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)OC(F)(F)F)NC(=O)C2=CC(=NN2)C3=CC=CN3,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)S(=O)(=O)C2=CC=C(C=C2)CNC(=O)C3=CN=C4C(=C3)C=NN4)C(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC(=C1)[N+](=O)[O-])CSC2=NC3=C(N2)C=C(C=N3)Br,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1/C=C/C(=O)NC2=C(C=C(C=C2)C3=NC4=C(O3)C=CC(=C4)CC(=O)O)F)Br,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)O)O,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1C2=CSC(=N2)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1C2=NC=C(C(=N2)C3=CC=NC=C3)C(=O)O)F,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1CC(=O)NC2=C(C=CN=C2)C(=O)O)Cl,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1CNC2=C3C(=NOC3=NC=N2)C4=CC=C(C=C4)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NC(=O)C2=CC=NC=C2)S(=O)(=O)NC3=NC=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NC(=O)C2=CC=NN2)[S+](=O)(NC3=NC=CS3)[O-],0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NC(=O)C2=NC=NN2)[S+](=O)(NC3=NC=CS3)[O-],0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NC(=O)CC2=CC(=C(C=C2)Cl)Cl)S(=O)(=O)NC3=CN=CN=C3,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NC(=O)CC2=CC(=C(C=C2)Cl)Cl)S(=O)(=O)NC3=NN=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NC(=O)CC2=CC(=C(C=C2)Cl)Cl)S(=O)(=O)NC3=NOC=C3,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NC(=O)CC2=CC(=C(C=C2)F)Cl)S(=O)(=O)NC3=NC=C(S3)C#N,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NC(=O)CC2=NC3=C(N2)C=C(C=C3)Cl)S(=O)(=O)NC4=NC=CS4,0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NCC2=C(C(=CC(=C2)Cl)Br)O)[S+](=O)(NC3=NC=CS3)[O-],1.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NCC2=C(C(=CC(=C2)F)Cl)O)[S+](=O)(NC3=NC=CS3)[O-],1.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NCC2=C(C=C(C=C2)N)O)[S+](=O)(NC3=NC=CS3)[O-],0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NCC2=C(C=C(C=C2)[N+](=O)[O-])O)[S+](=O)(NC3=NC=CS3)[O-],0.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NCC2=C(C=CC(=C2)Cl)O)S(=O)(=O)NC3=NC=CS3,1.0,,,,,,,,,,,,,,,,
C1=CC(=CC=C1NCC2=C(C=CC(=C2)F)O)S(=O)(=O)NC3=NC=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC(=CN=C1)C(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC(=CN=C1)C2=C3C=NC=CN3C(=N2)C(=O)NCC4=CC=NC=C4,0.0,,,,,,,,,,,,,,,,
C1=CC(=CN=C1)C2=CC=C(O2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC(=CN=C1)CNC(=O)C2=NC(=C3N2C=CN=C3)C4=CN=C(C=C4)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC(=CN=C1)CNC(=O)CC2=CNC3=C2C=C(C=N3)C4=CC=C(C=C4)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC(=CN=C1)NC(=O)C2=CC=CS2,1.0,,,,,,,,,,,,,,,,
C1=CC(=CN=C1)NCC2=C3C=CC=NC3=C(C=C2)O,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C(=C(C=C2)C(C3=CC=C(C=C3)C(F)(F)F)NC4=NC=CS4)O)N=C1,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C(=C1)C3=CN4C=NC=C4C(=C3)C5=CC=NC=C5)NC=C2,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C(=C1)C3=CN4C=NC=C4C(=C3)C5=CC=NC=C5)NN=C2,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C(=C1)CNC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4)NC=C2,0.0,,,,,,,,,,,,,,,,
C1=CC2=C(C(=C1)Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C=C1Cl)/C(=C\C3=CC(=C(C(=C3)Cl)O)Cl)/C(=O)N2,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C=C1Cl)NC(=O)C3=CSC=C3N2,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C=C1I)C(=CC3=CC(=C(C(=C3)Br)O)Br)C(=O)N2,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C=CC(=C2)CN3C4=NC(=CN=C4N=N3)C5=CN(N=C5)CCO)N=C1,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C=CC(=C2N=C1)O)CNC3=C(C=C(C=C3)C(F)(F)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C=CC(=C2N=C1)O)CNC3=C(C=C(C=C3)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(C=NC=C2)C(=C1)NS(=O)(=O)C3=CC=C(C=C3)NCC4=C(C(=CC=C4)Cl)O,1.0,,,,,,,,,,,,,,,,
C1=CC2=C(N=C1)N=C(C=C2)CCCC(=O)NCC3=CC(=NO3)C4=CC(=C(C=C4)F)C(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C(=O)NC2=CC=C(C=C2)C3=NC4=C(O3)C=CC(=C4)NC(=O)C5=CC=CC=C5Cl)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C(=O)NCC2=CC=CO2)NC(=O)C3=CC=CC=C3NC(=O)C4=CC=CO4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C(F)(F)F)NCC2=C3C=CC=NC3=C(C=C2)O,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=CC=C(O2)/C=C\3/C(=O)N4C5=C(C=C(C=N5)Br)N=C4S3)C(=O)O,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC(=NO2)C3=CC(=CC=C3)C(=O)O)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC3=C(C(=N2)NCC4=CC=C(C=C4)C5=CC(=NC=C5)C(F)(F)F)SC=C3)C(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC3=C(O2)C=CC(=C3)NC(=O)C4=CC=C(O4)[N+](=O)[O-])F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC(=CC=C4)F)C(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5)C(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=CS4)C(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC=C(C(=N2)NCC3=CC=C(C=C3)C4=CC=NN4)F)C(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC=C(C(=N2)NCC3=CC=C(C=C3)C4=CN=CC=C4)F)C(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC=C(C(=N2)NCC3=CC=C(C=C3)N4C=CN=N4)F)C(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2=NC=CC(=N2)N3C=CN=C3)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)C2C3C(=NC4=CC=CC=C4S2)C5=CC=CC=C5C3=O)F,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)CNC2=CC=C(C=C2)O)OCC3=CC=CC=C3Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)N,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3)O,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)CS(=O)(=O)C2=NC=C(C(=N2)C(=O)NC3=CC=CC=C3F)Cl)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)CSC2=NC3=C(N2)C=C(C=N3)Br)C#N,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)NCC2=C3C=CC=NC3=C(C=C2)O)Br,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)NCC2=C3C=CC=NC3=C(C=C2)O)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C(=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=C(C=C4)F)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C(C(=O)NC2=CC=C(C=C2)Cl)NS(=O)(=O)C3=CC=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C(C2=CC(=C3C=CC=NC3=C2O)Cl)NC(=O)C4=CN=CC=C4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=C(C(=O)NC=C2)N,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=C/C(=C\C3=CC=C(O3)C4=CC=C(C=C4)[N+](=O)[O-])/C(=O)N2C5=CC=C(C=C5)C(=O)O,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CC(=NC(=N2)NC3=CC(=C(C=C3)F)F)C4=CC=NC=C4,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CC(=NN2)NC3=NC(=NC4=CC=CC=C43)C5=CC=NC=C5,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CC(=O)C3=C(C=C(C=C3O2)O)O,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CC=C(C=C2)CNC3=C(N=NC(=N3)C4=CC=CC=N4)C5=CC=CC=C5,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CC=C(C=C2)NC(=O)C3=CC=CC=C3C(=O)O,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CC=C(C=C2)NC(=O)[C@H](CC3=CC=C(C=C3)O[S+](=O)(C4=CC=CC5=C4C=CN=C5)[O-])N[S+](=O)(C6=CC=CC7=C6C=CN=C7)[O-],1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CC=C(C=C2)S(=O)(=O)NC3=C(C=CN=C3)C(=O)NC4=NC(=CS4)C5=CC=CC=C5,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CC=C(O2)C(=O)NC3=CC4=C(C=C3)OC(=N4)C5=CN=CC=C5,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)NCCCN5C=CN=C5)C=N2,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CN3C(=CN=C3C4=CC=C(C=C4)C(=O)O)C=N2,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CN=C(N=C2NC3=CC(=C(C=C3)F)F)C4=CC=NC=C4,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CNN=C2,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=C(C=C(C=C4)F)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=C(C=C(C=C4)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=C(C=C(C=C4F)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC(=C(C=C4)F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC(=CC=C4)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC5=CC=CC=C5C=C4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)C#N,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)C(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=C(C=C4)N,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC(=C4)C#N,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC5=C4N=CC=C5,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC=C4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC=C4C#N,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC=C4Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CC=C4F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC=CS4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CN=CC=C4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=CC=CC=C3N4C=NN=N4,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)CCC(=O)O,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=CSC(=N2)NS(=O)(=O)C3=CC=C(C=C3)NC(=O)C4=CC5=CC=CC=C5C=C4,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=NC(=C(N=N2)C(F)(F)F)SC3=CC=CC(=C3)C(F)(F)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=NC(=C3C=CNC3=C2)C(=O)NCCCN4C=CN=C4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=C(C=C4)S(=O)(=O)NC5=NC=CS5,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=NC=C(N2)C(=O)NC3=NC=C(S3)CC4=CC=C(C=C4)C(F)(F)F,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=NC=CC(=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NC4=NC=CS4,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2=NN3C(=NN=C3CNC(=O)CC4=CC=CS4)C=C2,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)C2C=C(NC3=NC(=NN23)NS(=O)(=O)C4=CC=CC=C4)C5=CC=C(C=C5)Cl,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CC(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CC2=CC(=CN=C2)NC(=O)C3=CC=C(O3)C4=CC(=CC=C4)[N+](=O)[O-],1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CCC(=O)NC(C2=CC=CS2)C3=CC(=C4C=CC=NC4=C3O)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CCC(=O)NC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CCCNC(=O)C2=CC=CC(=C2)C3=CC(=C4C(=C3)C=CC=N4)O,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CCN2C3=CC=CC=C3NC2=S,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CCN2C=CC3=C(C2=N)C(C4=C(O3)C=CC5=CC=CC=C54)C6=CC=CC=C6,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CCNC(=O)C2=CC(=NC=C2)C3=NC=CC(=C3)C(=O)O,0.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CN2C(=C(C3=NC4=CC=CC=C4N=C32)S(=O)(=O)C5=CC=CS5)N,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CN2C(=NC3=CC=CC=C3C2=O)/C=C/C4=CN=CC=C4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CN2C3=C(C=C2C(=O)NCCC4=CC(=C(C=C4)OCC(F)(F)F)OCC(F)(F)F)SC=C3,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=C(C2=O)C(=O)NCC(=O)O)O,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=N2)C4=CC=C(O4)CO,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CNC(=O)C2=CN3C=C(SC3=N2)C4=CC=CC=C4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CNC(=O)C2=NC(=NC=C2Cl)S(=O)(=O)CC3=CC=C(C=C3)F,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CNC2=C(N=C(O2)C3=CC=CC4=CC=CC=C43)C#N,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)CNC2=NC(=NC3=CC=CC=C32)NCC4=CC=CC=C4,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)COC2=CC(=CC=C2)SC3=CC(=C(C=C3)CCC(CO)(CO)N)Cl,1.0,,,,,,,,,,,,,,,,
C1=CC=C(C=C1)N2C(=O)C3=C(SC=C3C(=N2)C(=O)O)N,0.0,,,,,,,,,,,,,,,,
