chembl,indication,passed_phase_1,passed_phase_2,passed_phase_3,smiles
CHEMBL1064,EFO_0000094,True,False,Not tested,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CHEMBL679,EFO_0000094,True,False,Not tested,CNC[C@H](O)c1ccc(O)c(O)c1
CHEMBL1201649,EFO_0000094,True,False,Not tested,
CHEMBL1201089,EFO_0000094,True,False,Not tested,CN(C)CCOC(c1ccccc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
CHEMBL1621597,EFO_0000094,True,False,Not tested,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
CHEMBL1487,EFO_0000094,True,False,Not tested,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
CHEMBL513,EFO_0000094,True,False,Not tested,O=NN(CCCl)C(=O)NCCCl
CHEMBL690,EFO_0000094,True,False,Not tested,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]
CHEMBL2134724,EFO_0000094,True,False,Not tested,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-]
CHEMBL112,EFO_0000094,True,False,Not tested,CC(=O)Nc1ccc(O)cc1
CHEMBL294199,EFO_0000094,True,False,Not tested,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
CHEMBL1200806,EFO_0000094,True,False,Not tested,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+]
CHEMBL6,EFO_0000094,True,False,Not tested,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL109,EFO_0000094,True,False,Not tested,CCCC(CCC)C(=O)O
CHEMBL1112,EFO_0000094,True,False,Not tested,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
CHEMBL393220,EFO_0000094,True,False,Not tested,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
CHEMBL1215,EFO_0000094,True,False,Not tested,CNC[C@H](O)c1cccc(O)c1
CHEMBL1433,EFO_0000094,True,False,Not tested,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
CHEMBL1200699,EFO_0000094,True,False,Not tested,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O
CHEMBL79,EFO_0000094,True,False,Not tested,CCN(CC)CC(=O)Nc1c(C)cccc1C
CHEMBL25,EFO_0000094,True,False,Not tested,CC(=O)Oc1ccccc1C(=O)O
CHEMBL1491,EFO_0000094,True,False,Not tested,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
CHEMBL924,EFO_0000094,True,False,Not tested,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
CHEMBL435,EFO_0000094,True,False,Not tested,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
CHEMBL657,EFO_0000094,True,False,Not tested,CN(C)CCOC(c1ccccc1)c1ccccc1
CHEMBL1200402,EFO_0000095,True,False,Not tested,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
CHEMBL2134724,EFO_0000095,True,False,Not tested,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-]
CHEMBL294199,EFO_0000095,True,False,Not tested,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
CHEMBL1215,EFO_0000095,True,False,Not tested,CNC[C@H](O)c1cccc(O)c1
CHEMBL118,EFO_0000095,True,False,Not tested,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL1201577,EFO_0000095,True,False,Not tested,
CHEMBL1433,EFO_0000095,True,False,Not tested,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
CHEMBL1200699,EFO_0000095,True,False,Not tested,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O
CHEMBL79,EFO_0000095,True,False,Not tested,CCN(CC)CC(=O)Nc1c(C)cccc1C
CHEMBL1200806,EFO_0000095,True,False,Not tested,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+]
CHEMBL25,EFO_0000095,True,False,Not tested,CC(=O)Oc1ccccc1C(=O)O
CHEMBL741,EFO_0000095,True,False,Not tested,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
CHEMBL679,EFO_0000095,True,False,Not tested,CNC[C@H](O)c1ccc(O)c(O)c1
CHEMBL1491,EFO_0000095,True,False,Not tested,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
CHEMBL521,EFO_0000095,True,False,Not tested,CC(C)Cc1ccc(C(C)C(=O)O)cc1
CHEMBL924,EFO_0000095,True,False,Not tested,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
CHEMBL435,EFO_0000095,True,False,Not tested,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
CHEMBL256087,EFO_0000095,True,False,Not tested,CC1CCC(C(C)C)C(O)C1
CHEMBL6,EFO_0000095,True,False,Not tested,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL1621597,EFO_0000095,True,False,Not tested,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
CHEMBL1112,EFO_0000095,True,False,Not tested,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
CHEMBL154,EFO_0000095,True,False,Not tested,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
CHEMBL139,EFO_0000095,True,False,Not tested,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
CHEMBL1200402,EFO_0000096,True,False,Not tested,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
CHEMBL2134724,EFO_0000096,True,False,Not tested,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-]
CHEMBL294199,EFO_0000096,True,False,Not tested,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
CHEMBL1215,EFO_0000096,True,False,Not tested,CNC[C@H](O)c1cccc(O)c1
CHEMBL1200724,EFO_0000096,True,False,Not tested,CN[C@@H](C)[C@@H](O)c1ccccc1.Cl
CHEMBL118,EFO_0000096,True,False,Not tested,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL79,EFO_0000096,True,False,Not tested,CCN(CC)CC(=O)Nc1c(C)cccc1C
CHEMBL1200806,EFO_0000096,True,False,Not tested,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+]
CHEMBL25,EFO_0000096,True,False,Not tested,CC(=O)Oc1ccccc1C(=O)O
CHEMBL741,EFO_0000096,True,False,Not tested,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
CHEMBL1064,EFO_0000096,True,False,Not tested,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CHEMBL679,EFO_0000096,True,False,Not tested,CNC[C@H](O)c1ccc(O)c(O)c1
CHEMBL1491,EFO_0000096,True,False,Not tested,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
CHEMBL521,EFO_0000096,True,False,Not tested,CC(C)Cc1ccc(C(C)C(=O)O)cc1
CHEMBL924,EFO_0000096,True,False,Not tested,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
CHEMBL435,EFO_0000096,True,False,Not tested,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
CHEMBL256087,EFO_0000096,True,False,Not tested,CC1CCC(C(C)C)C(O)C1
CHEMBL6,EFO_0000096,True,False,Not tested,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL1590,EFO_0000096,True,False,Not tested,CN[C@@H](C)[C@@H](O)c1ccccc1
CHEMBL1144,EFO_0000096,True,False,Not tested,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
CHEMBL1201649,EFO_0000096,True,False,Not tested,
CHEMBL109,EFO_0000096,True,False,Not tested,CCCC(CCC)C(=O)O
CHEMBL1621597,EFO_0000096,True,False,Not tested,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
CHEMBL1201320,EFO_0000096,True,False,Not tested,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
CHEMBL1487,EFO_0000096,True,False,Not tested,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
CHEMBL1112,EFO_0000096,True,False,Not tested,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
CHEMBL690,EFO_0000096,True,False,Not tested,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]
CHEMBL154,EFO_0000096,True,False,Not tested,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
CHEMBL393220,EFO_0000096,True,False,Not tested,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
CHEMBL139,EFO_0000096,True,False,Not tested,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
CHEMBL1200402,EFO_0000174,True,False,Not tested,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
CHEMBL989,EFO_0000174,True,False,Not tested,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
CHEMBL1201302,EFO_0000174,True,False,Not tested,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O
CHEMBL118,EFO_0000174,True,False,Not tested,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL1201231,EFO_0000174,True,False,Not tested,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)(O)O
CHEMBL521,EFO_0000174,True,False,Not tested,CC(C)Cc1ccc(C(C)C(=O)O)cc1
CHEMBL256087,EFO_0000174,True,False,Not tested,CC1CCC(C(C)C)C(O)C1
CHEMBL1590,EFO_0000174,True,False,Not tested,CN[C@@H](C)[C@@H](O)c1ccccc1
CHEMBL1144,EFO_0000174,True,False,Not tested,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
CHEMBL1201320,EFO_0000174,True,False,Not tested,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
CHEMBL154,EFO_0000174,True,False,Not tested,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
CHEMBL139,EFO_0000174,True,False,Not tested,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
CHEMBL2021430,EFO_0000174,True,False,Not tested,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
CHEMBL1200386,EFO_0000174,True,False,Not tested,CCOC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
CHEMBL1364144,EFO_0000174,True,False,Not tested,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
CHEMBL1200724,EFO_0000174,True,False,Not tested,CN[C@@H](C)[C@@H](O)c1ccccc1.Cl
CHEMBL1200953,EFO_0000174,True,False,Not tested,CCCC(=O)O[C@]1(C(=O)COC(=O)CC)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C
CHEMBL1201577,EFO_0000174,True,False,Not tested,
CHEMBL650,EFO_0000174,True,False,Not tested,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
CHEMBL1908360,EFO_0000174,True,False,Not tested,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
CHEMBL741,EFO_0000174,True,False,Not tested,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1
CHEMBL1064,EFO_0000174,True,False,Not tested,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
CHEMBL679,EFO_0000174,True,False,Not tested,CNC[C@H](O)c1ccc(O)c(O)c1
CHEMBL1201649,EFO_0000174,True,False,Not tested,
CHEMBL1201089,EFO_0000174,True,False,Not tested,CN(C)CCOC(c1ccccc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
CHEMBL1201014,EFO_0000174,True,False,Not tested,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)([O-])[O-].[Na+].[Na+]
CHEMBL1621597,EFO_0000174,True,False,Not tested,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2
CHEMBL1487,EFO_0000174,True,False,Not tested,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
CHEMBL513,EFO_0000174,True,False,Not tested,O=NN(CCCl)C(=O)NCCCl
CHEMBL690,EFO_0000174,True,False,Not tested,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)[O-])[C@H]21.[Na+]
CHEMBL2134724,EFO_0000174,True,False,Not tested,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-]
CHEMBL112,EFO_0000174,True,False,Not tested,CC(=O)Nc1ccc(O)cc1
CHEMBL294199,EFO_0000174,True,False,Not tested,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
CHEMBL1473,EFO_0000174,True,False,Not tested,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CHEMBL1201081,EFO_0000174,True,False,Not tested,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)[O-])[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12.[Na+]
CHEMBL1201265,EFO_0000174,True,False,Not tested,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
CHEMBL1200806,EFO_0000174,True,False,Not tested,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+]
CHEMBL1200538,EFO_0000174,True,False,Not tested,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CHEMBL635,EFO_0000174,True,False,Not tested,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
CHEMBL6,EFO_0000174,True,False,Not tested,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL389621,EFO_0000174,True,False,Not tested,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CHEMBL109,EFO_0000174,True,False,Not tested,CCCC(CCC)C(=O)O
CHEMBL34259,EFO_0000174,True,False,Not tested,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL1112,EFO_0000174,True,False,Not tested,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
CHEMBL393220,EFO_0000174,True,False,Not tested,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
CHEMBL1650,EFO_0000174,True,False,Not tested,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@@]21C
CHEMBL131,EFO_0000174,True,False,Not tested,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
CHEMBL1215,EFO_0000174,True,False,Not tested,CNC[C@H](O)c1cccc(O)c1
CHEMBL384467,EFO_0000174,True,False,Not tested,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
CHEMBL1370,EFO_0000174,True,False,Not tested,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
CHEMBL1433,EFO_0000174,True,False,Not tested,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21
CHEMBL1200699,EFO_0000174,True,False,Not tested,C[C@H]1c2cccc(O)c2C(=O)C2=C(O)[C@]3(O)C(=O)C(C(N)=O)=C(O)[C@@H](N(C)C)[C@@H]3[C@@H](O)[C@@H]21.O
CHEMBL79,EFO_0000174,True,False,Not tested,CCN(CC)CC(=O)Nc1c(C)cccc1C
CHEMBL1504,EFO_0000174,True,False,Not tested,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
CHEMBL25,EFO_0000174,True,False,Not tested,CC(=O)Oc1ccccc1C(=O)O
CHEMBL1491,EFO_0000174,True,False,Not tested,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl
CHEMBL435,EFO_0000174,True,False,Not tested,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
CHEMBL657,EFO_0000174,True,False,Not tested,CN(C)CCOC(c1ccccc1)c1ccccc1
CHEMBL1200402,EFO_0000178,True,False,Not tested,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl.O=S(=O)(O)c1ccccc1
CHEMBL2134724,EFO_0000178,True,False,Not tested,CC(C)[N+]1(C)[C@H]2CC[C@@H]1C[C@H](OC(=O)C(CO)c1ccccc1)C2.O.[Br-]
CHEMBL989,EFO_0000178,True,False,Not tested,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
CHEMBL112,EFO_0000178,True,False,Not tested,CC(=O)Nc1ccc(O)cc1
CHEMBL1201302,EFO_0000178,True,False,Not tested,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(=O)(O)O
CHEMBL294199,EFO_0000178,True,False,Not tested,COc1cc(CNC(=O)CCCC/C=C/C(C)C)ccc1O
CHEMBL118,EFO_0000178,True,False,Not tested,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1
CHEMBL1201231,EFO_0000178,True,False,Not tested,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)COP(=O)(O)O
CHEMBL1473,EFO_0000178,True,False,Not tested,CCC(=O)O[C@]1(C(=O)SCF)[C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CHEMBL1201081,EFO_0000178,True,False,Not tested,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)[O-])[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12.[Na+]
CHEMBL1201265,EFO_0000178,True,False,Not tested,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)COC(=O)CCC(=O)O)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
CHEMBL1200806,EFO_0000178,True,False,Not tested,COc1ccc2cc([C@H](C)C(=O)[O-])ccc2c1.[Na+]
CHEMBL1200538,EFO_0000178,True,False,Not tested,CC(=O)OCC(=O)[C@@]1(O)[C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
CHEMBL635,EFO_0000178,True,False,Not tested,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
CHEMBL521,EFO_0000178,True,False,Not tested,CC(C)Cc1ccc(C(C)C(=O)O)cc1
CHEMBL256087,EFO_0000178,True,False,Not tested,CC1CCC(C(C)C)C(O)C1
CHEMBL6,EFO_0000178,True,False,Not tested,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
CHEMBL1590,EFO_0000178,True,False,Not tested,CN[C@@H](C)[C@@H](O)c1ccccc1
CHEMBL389621,EFO_0000178,True,False,Not tested,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
CHEMBL1144,EFO_0000178,True,False,Not tested,CC[C@H](C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
CHEMBL109,EFO_0000178,True,False,Not tested,CCCC(CCC)C(=O)O
CHEMBL1201320,EFO_0000178,True,False,Not tested,COc1ccc2[nH]c([S@@+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
CHEMBL34259,EFO_0000178,True,False,Not tested,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1
CHEMBL1112,EFO_0000178,True,False,Not tested,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1
CHEMBL154,EFO_0000178,True,False,Not tested,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1
