,chembl,indication,passed_phase_1,passed_phase_2,passed_phase_3,smiles
15,CHEMBL1200721,MONDO_0008315,True,True,False,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)([O-])[O-].[Na+].[Na+]
16,CHEMBL409,MONDO_0008315,True,True,Unknown,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
20,CHEMBL384467,MONDO_0008315,True,True,False,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
21,CHEMBL1201066,EFO_0000673,True,True,False,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1.Cl
23,CHEMBL254328,MONDO_0008315,True,True,False,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1
24,CHEMBL468,MONDO_0008315,True,True,False,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1
27,CHEMBL3545252,EFO_0000673,True,True,Unknown,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@@H]12)C3(C)C.O.O.O
30,CHEMBL393220,MONDO_0008315,True,True,Unknown,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
31,CHEMBL254328,EFO_0000673,True,True,Unknown,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1
33,CHEMBL4297185,MONDO_0008315,True,True,True,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1
34,CHEMBL848,MONDO_0008315,True,True,False,Nc1cccc2c1CN(C1CCC(=O)NC1=O)C2=O
37,CHEMBL1173055,EFO_0001663,True,True,Unknown,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
41,CHEMBL1628688,MONDO_0008315,True,True,False,COc1nc(C)cnc1NS(=O)(=O)c1cccnc1-c1ccc(-c2nnco2)cc1
43,CHEMBL378544,MONDO_0008315,True,True,False,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O
44,CHEMBL1421,EFO_0000673,True,True,False,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1
45,CHEMBL44657,MONDO_0008315,True,True,False,COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O
48,CHEMBL428647,MONDO_0008315,True,True,False,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
49,CHEMBL271227,EFO_0000196,True,True,True,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1
50,CHEMBL389621,EFO_0000673,True,True,Unknown,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
51,CHEMBL1417019,MONDO_0008315,True,True,True,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
58,CHEMBL3833368,EFO_0000673,True,True,Unknown,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2.CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
59,CHEMBL4650276,MONDO_0008315,True,True,Unknown,CC1(C)C(=O)N(c2ccc(C#N)c(C(F)(F)F)c2)C(=S)N1c1ccc(OC[C@@H](O)CO)cc1
60,CHEMBL806,EFO_0000196,True,True,True,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
61,CHEMBL25,MONDO_0008315,True,True,Unknown,CC(=O)Oc1ccccc1C(=O)O
62,CHEMBL1200969,EFO_0001663,True,True,True,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F
63,CHEMBL131,EFO_0001663,True,True,False,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
64,CHEMBL2177390,EFO_0000196,True,True,Unknown,CC(C)NC[C@@H](C(=O)N1CCN(c2ncnc3c2[C@H](C)C[C@H]3O)CC1)c1ccc(Cl)cc1
66,CHEMBL9194,MONDO_0008315,True,True,Unknown,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1
67,CHEMBL3301610,MONDO_0008315,True,True,Unknown,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1
71,CHEMBL923,EFO_0000196,True,True,False,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
73,CHEMBL924,EFO_0000673,True,True,True,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
76,CHEMBL3183409,MONDO_0008315,True,True,True,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F
77,CHEMBL635,EFO_0000196,True,True,Unknown,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
83,CHEMBL521686,MONDO_0008315,True,True,Unknown,O=C(c1cc(Cc2nnc(O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
84,CHEMBL924,MONDO_0008315,True,True,True,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
87,CHEMBL806,MONDO_0008315,True,True,Unknown,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
91,CHEMBL159,MONDO_0008315,True,True,False,CC[C@]1(O)C[C@@H]2C[N@@](CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
93,CHEMBL413376,MONDO_0008315,True,True,False,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)[O-])c5cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c45)ccc3C)c2)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
94,CHEMBL535,EFO_0000673,True,True,False,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
97,CHEMBL786,MONDO_0008315,True,True,False,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1.O=C(O)CC(O)(CC(=O)O)C(=O)O
104,CHEMBL1042,EFO_0000673,True,True,Unknown,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
107,CHEMBL121,EFO_0000673,True,True,False,CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c1ccccn1
110,CHEMBL409,EFO_0000196,True,True,Unknown,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
113,CHEMBL877,MONDO_0008315,True,True,Unknown,NC[C@H]1CC[C@H](C(=O)O)CC1
120,CHEMBL254328,EFO_0000196,True,True,Unknown,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2c1cccnc1
123,CHEMBL4297185,EFO_0000673,True,True,True,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1
128,CHEMBL3833368,EFO_0001663,True,True,Unknown,CC1(C)[C@@H]2CC[C@@]1(CS(=O)(=O)O)C(=O)C2.CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
130,CHEMBL3137320,MONDO_0008315,True,True,Unknown,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1
132,CHEMBL122,MONDO_0008315,True,True,False,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1
133,CHEMBL359744,MONDO_0008315,True,True,False,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1.Cl
135,CHEMBL1094636,MONDO_0008315,True,True,Unknown,NC(=O)c1cccc2cn(-c3ccc([C@@H]4CCCNC4)cc3)nc12
139,CHEMBL1908360,MONDO_0008315,True,True,Unknown,CO[C@H]1C[C@@H]2CC[C@@H](C)[C@@](O)(O2)C(=O)C(=O)N2CCCC[C@H]2C(=O)O[C@H]([C@H](C)C[C@@H]2CC[C@@H](OCCO)[C@H](OC)C2)CC(=O)[C@H](C)/C=C(\C)[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)/C=C/C=C/C=C/1C
140,CHEMBL1042,MONDO_0008315,True,True,Unknown,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
141,CHEMBL635,EFO_0001663,True,True,Unknown,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
142,CHEMBL271227,MONDO_0008315,True,True,True,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1
143,CHEMBL1082407,MONDO_0008315,True,True,True,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
144,CHEMBL806,EFO_0000673,True,True,True,CC(C)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1
151,CHEMBL1908391,MONDO_0008315,True,True,Unknown,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nc(-c2cccnc2)cs1
153,CHEMBL1417019,EFO_0000673,True,True,True,Cl.Cl.O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
155,CHEMBL635,MONDO_0008315,True,True,Unknown,C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
157,CHEMBL1173055,EFO_0000673,True,True,Unknown,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
159,CHEMBL481611,MONDO_0008315,True,True,Unknown,CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)NC1(C#N)CC1
163,CHEMBL131,EFO_0000196,True,True,Unknown,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
164,CHEMBL1173055,MONDO_0008315,True,True,Unknown,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1
172,CHEMBL1082407,EFO_0000196,True,True,True,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
173,CHEMBL271227,EFO_0000673,True,True,True,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1
178,CHEMBL384467,EFO_0000673,True,True,Unknown,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
181,CHEMBL1800159,EFO_0000673,True,True,True,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1
182,CHEMBL796,EFO_0001663,True,True,Unknown,COC(=O)C(c1ccccc1)C1CCCCN1
186,CHEMBL24778,MONDO_0008315,True,True,Unknown,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F
188,CHEMBL1800159,MONDO_0008315,True,True,True,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1
189,CHEMBL135,MONDO_0008315,True,True,Unknown,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O
191,CHEMBL139835,EFO_0000673,True,True,False,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@]4(C)[C@H]3CC[C@@]21C
192,CHEMBL717,EFO_0000673,True,True,False,CC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
194,CHEMBL4297185,EFO_0001663,True,True,True,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1
199,CHEMBL1737,MONDO_0008315,True,True,False,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12.O=C(O)CC(O)(CC(=O)O)C(=O)O
202,CHEMBL846,MONDO_0008315,True,True,False,C=C1/C(=C\C=C2/CCC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)(C)O)C[C@@H](O)C[C@@H]1O
203,CHEMBL1536,MONDO_0008315,True,True,Unknown,C=C1CC[C@H](O)C/C1=C/C=C1\CCC[C@@]2(C)[C@H]1CC[C@@H]2[C@H](C)/C=C/[C@H](C)C(C)C
207,CHEMBL1464,MONDO_0008315,True,True,False,CC(=O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O
209,CHEMBL2106068,MONDO_0008315,True,True,Unknown,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1.Cl
213,CHEMBL53463,MONDO_0008315,True,True,False,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
216,CHEMBL495,MONDO_0008315,True,True,False,CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O
218,CHEMBL83,MONDO_0008315,True,True,False,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
222,CHEMBL870,EFO_0000673,True,True,False,NCCCC(O)(P(=O)(O)O)P(=O)(O)O
225,CHEMBL521686,EFO_0000673,True,True,Unknown,O=C(c1cc(Cc2nnc(O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1
227,CHEMBL393220,EFO_0000196,True,True,Unknown,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].[Ca+2]
229,CHEMBL9194,EFO_0000673,True,True,False,CCCCN(CCCC)C(=O)CN1C[C@H](c2ccc3c(c2)OCO3)[C@@H](C(=O)O)[C@@H]1c1ccc(OC)cc1
233,CHEMBL599,EFO_0000673,True,True,False,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1
237,CHEMBL409,EFO_0000673,True,True,False,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1
239,CHEMBL1487,EFO_0000196,True,True,Unknown,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
243,CHEMBL1800159,EFO_0000196,True,True,True,CONC(=O)Nc1ccc(-c2sc3c(c2CN(C)C)c(=O)n(-c2ccc(OC)nn2)c(=O)n3Cc2c(F)cccc2F)cc1
247,CHEMBL58,MONDO_0008315,True,True,True,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
250,CHEMBL411,MONDO_0008315,True,True,False,CC/C(=C(/CC)c1ccc(O)cc1)c1ccc(O)cc1
251,CHEMBL1756,MONDO_0008315,True,True,False,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2OP(=O)(O)O
253,CHEMBL1201010,EFO_0000673,True,True,Unknown,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
255,CHEMBL1201010,MONDO_0008315,True,True,Unknown,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
258,CHEMBL1200969,MONDO_0008315,True,True,False,C[C@]12CC[C@H]3[C@@H](CC[C@H]4NC(=O)C=C[C@]34C)[C@@H]1CC[C@@H]2C(=O)Nc1cc(C(F)(F)F)ccc1C(F)(F)F
266,CHEMBL637,EFO_0000673,True,True,False,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
267,CHEMBL836,MONDO_0008315,True,True,False,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1
270,CHEMBL192,MONDO_0008315,True,True,False,CCCc1nn(C)c2c(O)nc(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
272,CHEMBL1082407,EFO_0000673,True,True,True,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
283,CHEMBL923,MONDO_0008315,True,True,False,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
285,CHEMBL650,MONDO_0008315,True,True,False,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
286,CHEMBL1082407,EFO_0001663,True,True,True,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F
288,CHEMBL2105738,MONDO_0008315,True,True,False,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC=C2n1cnc2ccccc21
290,CHEMBL1274,MONDO_0008315,True,True,True,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
293,CHEMBL131,EFO_0000673,True,True,Unknown,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
294,CHEMBL131,MONDO_0008315,True,True,Unknown,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
295,CHEMBL3183409,EFO_0000673,True,True,True,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F
296,CHEMBL58,EFO_0000673,True,True,True,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
300,CHEMBL70,MONDO_0008315,True,True,False,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
310,CHEMBL271227,EFO_0001663,True,True,True,CC(=O)O[C@H]1CC[C@@]2(C)C(=CC[C@H]3[C@@H]4CC=C(c5cccnc5)[C@@]4(C)CC[C@@H]32)C1
311,CHEMBL4297185,EFO_0000196,True,True,True,CC(O)c1cc(C(=O)N[C@@H](C)Cn2ccc(-c3ccc(C#N)c(Cl)c3)n2)n[nH]1
315,CHEMBL650,EFO_0000196,True,True,Unknown,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]2(C)C=CC(=O)C=C12
320,CHEMBL3183409,EFO_0000196,True,True,True,CNC(=O)c1ccc(N2C(=S)N(c3cnc(C#N)c(C(F)(F)F)c3)C(=O)C23CCC3)cc1F
322,CHEMBL1274,EFO_0000196,True,True,True,CC1(C)NC(=O)N(c2ccc([N+](=O)[O-])c(C(F)(F)F)c2)C1=O
325,CHEMBL389621,MONDO_0008315,True,True,Unknown,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO
328,CHEMBL1487,MONDO_0008315,True,True,Unknown,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CC[C@@H](O)C[C@@H](O)CC(=O)O
340,CHEMBL265502,MONDO_0008315,True,True,False,Cc1ccc(C(=O)Nc2ccc(S(=O)(=O)O)c3cc(S(=O)(=O)O)cc(S(=O)(=O)O)c23)cc1NC(=O)c1cccc(NC(=O)Nc2cccc(C(=O)Nc3cc(C(=O)Nc4ccc(S(=O)(=O)O)c5cc(S(=O)(=O)O)cc(S(=O)(=O)O)c45)ccc3C)c2)c1
346,CHEMBL428647,EFO_0004281,True,True,Unknown,CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O
347,CHEMBL535,EFO_0003863,True,True,Unknown,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C
348,CHEMBL888,EFO_0003863,True,True,Unknown,Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)C2(F)F)c(=O)n1
349,CHEMBL386630,Orphanet_325690,True,True,Unknown,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O
350,CHEMBL92,EFO_0003863,True,True,Unknown,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c4ccccc4)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C
