smiles,drug_id,drug_id_type,cell_line,tox21-ar-bla-agonist-p1,tox21-ar-bla-antagonist-p1,tox21-elg1-luc-agonist-p1,tox21-er-bla-agonist-p2,tox21-er-bla-antagonist-p1,tox21-erb-bla-antagonist-p1,tox21-erb-bla-p1,tox21-err-p1_agonist,tox21-fxr-bla-agonist-p2,tox21-fxr-bla-antagonist-p1,tox21-pgc-err-p1_agonist,tox21-ppard-bla-agonist-p1,tox21-ppard-bla-antagonist-p1,tox21-pparg-bla-agonist-p1,tox21-pparg-bla-antagonist-p1,tox21-pr-bla-agonist-p1,tox21-pr-bla-antagonist-p1,tox21-rt-viability-hek293-p1_glo 8 hr,tox21-rt-viability-hek293-p1_glo 40 hr,tox21-rt-viability-hek293-p1_flor 16 hr,tox21-rt-viability-hek293-p1_flor 24 hr,tox21-rt-viability-hek293-p1_flor 32 hr,tox21-rt-viability-hek293-p1_flor 40 hr,tox21-rt-viability-hek293-p1_flor 0 hr,tox21-rt-viability-hek293-p1_flor 8 hr,tox21-rt-viability-hek293-p1_glo 0 hr,tox21-rt-viability-hek293-p1_glo 16 hr,tox21-rt-viability-hek293-p1_glo 24 hr,tox21-rt-viability-hek293-p1_glo 32 hr,tox21-rxr-bla-agonist-p1,tox21-sbe-bla-agonist-p1,tox21-sbe-bla-antagonist-p1,tox21-trhr-hek293-p1_agonist,tox21-trhr-hek293-p1_antagonist,tox21-tshr-agonist-p1,tox21-tshr-antagonist-p1,tox21-tshr-wt-p1,tox21-vdr-bla-agonist-p1,tox21-vdr-bla-antagonist-p1
[Na+].O=C([O-])[C@@H]3N4C(=O)[C@@H](NC(=O)c2c(C)onc2c1c(F)cccc1Cl)[C@H]4SC3(C)C,144203605,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.Clc4ccc5Sc1ccccc1N(CCCN2CCC3(CC2)NC(=O)CS3)c5c4,144203606,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
c3ccc4Sc5ccccc5N(C[C@@H]2CN1CCC2CC1)c4c3,144206792,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NCCS,144206643,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.Oc1ccc(nc1CO)C(O)CNC(C)(C)C,144203612,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NCCCC(=O)O,144203622,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CN4C1CCC4CC(C1)OC(c2ccccc2)c3ccc(Cl)cc3,144203645,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,0.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Oc2ccc(C[C@@H](C)[C@@H](C)Cc1ccc(O)c(O)c1)cc2O,144203761,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[Br-].C[N+](C)(C)CCO,144207063,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[Cl-].[Cl-].Nc4cc(C)[n+](CCCCCCCCCC[n+]2c1ccccc1c(N)cc2C)c3ccccc34,144203679,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,0.0,1.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1c3ccccc3[Se]N1c2ccccc2,144203691,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[Ca+2].O=C([O-])[C@H](O)[C@@H](O)[C@H](O)C(=O)CO.OCC(=O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O,144203552,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[Ba+2].O[C@H]([C@@H](O)C([O-])=O)[C@H](O)[C@H](O)CO.[O-]C(=O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,144203553,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
N#CSCC(=O)O[C@@H]1C[C@H]2CC[C@]1(C)C2(C)C,144203555,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O[C@@H](c2ccnc1ccccc12)[C@H]4CC3CCN4C[C@@H]3C=C,144203560,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NC(Cc1ccccc1)C(=O)O,144203562,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
OC(=O)c1ccc(CCCC)cn1,144203700,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
OCC(S)CS,144203565,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=P(O)(O)O[C@H]2CC[C@H]3[C@@H]4CCc1cc(O)ccc1[C@H]4CC[C@]23C,144203569,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.Cl.CC(C)(C)c1ccc(cc1)CN2CCN(CC2)C(c3ccc(Cl)cc3)c4ccccc4,144203574,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)c4cc1ccccc1c(Cc2c3ccccc3cc(C(=O)O)c2O)c4O,144206996,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)CC[C@@H](C)[C@H]4CC[C@@H]2[C@]4(C)[C@@H](O)C[C@@H]1[C@@]3(C)CC[C@@H](O)C[C@H]3C[C@@H](O)[C@H]12.C1CNCCN1,144203577,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CN4[C@H]1CC[C@@H]4C[C@@H](C1)OC(c2ccccc2)c3ccccc3.CS(=O)(=O)O,144203579,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.O=C(NCN1CCCC1)C4=C(O)[C@@H](N(C)C)[C@@H]5CC3C(C(=O)c2c(O)cccc2[C@@]3(C)O)=C(O)[C@]5(O)C4=O,144203581,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[Na+].[Na+].[Na+].[Na+].[O-]P([O-])(=O)OP([O-])([O-])=O,144203584,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1CCC(=NN1)c2ccc(cc2)n3ccnc3,144203722,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@H](C(=O)O)c1ccc(CC(C)C)cc1,144206692,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.O=S(=O)(O)O.NC3CC=C(CN)OC3O[C@@H]2[C@@H](N)C[C@@H](N)[C@H](O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O)[C@H]2O.NC3CC=C(CN)OC3O[C@H]2[C@H](O)[C@@H](O[C@H]1OC[C@](C)(O)[C@H](NC)[C@H]1O)[C@H](N)C[C@@H]2N,144204207,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COc3ccccc3N2CCN(CCCNC1=CC(=O)N(C)C(=O)N1C)CC2,144203849,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
C=CC(N)CCC(=O)O,144203852,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NCCNCC(O)COc1ccc(O)cc1)N2CCOCC2,144203855,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.C[N+]2([O-])[C@H]1C[C@@H](C[C@@H]2CC1)OC(=O)C(CO)c3ccccc3,144204095,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Ic1c(c(I)c(c(I)c1N(C)C(C)=O)C(=O)NC)C(=O)NCC(=O)Nc2c(I)c(C(=O)NCCO)c(I)c(C(=O)O)c2I,144204215,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Brc1ccccc1C[N+](C)(C)CC.[O-]S(=O)(=O)c1ccc(C)cc1,144203859,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[Na+].[Na+].ClC(Cl)(P(O)([O-])=O)P([O-])(=O)O,144203860,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[Na+].[O-]C(=O)c1cc2cc(ccc2o1)Cc3cccnc3,144203861,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(C)Oc1cc(ccc1C(=O)O)C(F)(F)F,144203987,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(N[C@@H](CCC(=O)O)C(=O)O)C[C@H](NC(C)=O)C(=O)O,144204096,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NCc4ccccc4CC(=O)N[C@@H]3C(=O)N2C(=C(CSc1nnnn1CC(=O)O)CS[C@@H]23)C(=O)O,144204221,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.O=C(Oc1cc(ccc1OC(=O)C(C)(C)C)C(O)CNC)C(C)(C)C,144204226,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=P(O)(O)O.CN(C)[C@H]4C[C@@H](C)O[C@@H](O[C@@H]3[C@@H](C)[C@H](O[C@H]1C[C@H](OC)[C@@H](O)[C@H](C)O1)[C@@H](C)C(=O)O[C@H](C)[C@H](C)[C@H](O)[C@@H](C)C(=O)[C@@]2(CO2)C[C@@H]3C)[C@@H]4O,144204109,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)/C=C\C(=O)O.CN(C)C[C@@H](C)CN1c3ccccc3Sc2ccc(OC)cc12,144204110,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=S(=O)(O)Oc1cc2CC[C@H]3[C@@H]4CCC(=O)[C@@]4(C)CC[C@@H]3c2cc1.C1CNCCN1,144206901,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)N1CCN(CC1)c2ccc(cc2)OC[C@H]4CO[C@@](Cn3ncnc3)(O4)c5ccc(Cl)cc5Cl,144204230,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)/C(C(=O)O)=C1/SC(S1)C(=O)N[C@]4(OC)C(=O)N3C(=C(CSc2nnnn2C)CS[C@@H]34)C(=O)O,144204232,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
NC(=O)c1ccc[n+](c1)[C@@H]5O[C@H](COP([O-])(=O)OP(=O)(O)OC[C@H]4O[C@@H](n3cnc2c(N)ncnc23)[C@H](O)[C@@H]4O)[C@@H](O)[C@H]5O,144203872,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[Br-].[Br-].O=C(Oc1ccccc1[N+](C)(C)C)N(C)CCCCCCCCCCN(C)C(=O)Oc2ccccc2[N+](C)(C)C,144203878,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
COc1ccc(cc1O)[C@@H]2CC(=O)c3c(O)cc(cc3O2)O[C@@H]5O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]5O,144203999,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)[C@@H]3[C@@H](O)C[C@@]2(O)C[C@@H](O)C[C@H]4O[C@@H]4C=CC(=O)O[C@H](C)CC=CC=CC=CC=C[C@H](O[C@@H]1O[C@H](C)[C@@H](O)[C@H](N)[C@@H]1O)C[C@@H]3O2,144204112,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)[C@H]1CC[C@H](O[C@@H]1C)O[C@H]4C=CC=CC[C@@H](C)OC(=O)C[C@@H](O)[C@H](OC)[C@@H](O[C@@H]3O[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@@H]([C@H]3O)N(C)C)[C@@H](CC=O)C[C@H]4C,144204113,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CS(=O)c3ccc(c1nc2ncccc2n1)c(OC)c3,144204236,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CCC(=O)OCC(=O)[C@@]4(OC(=O)OCC)CC[C@@H]3[C@]4(C)C[C@H](O)[C@H]2[C@H]3CCC1=CC(=O)C=C[C@@]12C,144204238,PUBCHEM_SID,HEK293_KIDNEY,1.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C2C=Cc3cc(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c(O)cc3O2,144204004,PUBCHEM_SID,HEK293_KIDNEY,1.0,0.0,0.0,1.0,0.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.OC(CNCC)c1cc(O)ccc1,144204008,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CN(C)C2=Nc1ccc(C)cc1N3C(=O)C(CCC)C(=O)N23,144204120,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Nc1scc(n1)/C(=N\OCC(=O)O)C(=O)N[C@@H]2C(=O)N3C(=C(C=C)CS[C@H]23)C(=O)O,144204245,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1cc(no1)C(=O)NNCc2ccccc2,144203887,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Oc1ccc(C[C@H](N)C(=O)O)cc1O,144203889,PUBCHEM_SID,HEK293_KIDNEY,1.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.CCN(CC)CCOC(=O)c1ccc(N)cc1OCCC,144204013,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CN1N=C(S\C1=N/C(C)=O)S(=O)(N)=O,144204015,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[Cl-].[Cl-].OC\C=C6\C[N@+]4(CC=C)CC[C@@]58c%11ccccc%11N7C=C9[C@H]1C[C@H]2[C@@]%10(CC[N@@+]2(CC=C)C\C1=C\CO)c3ccccc3N(C=C([C@H]6C[C@H]45)[C@H]78)[C@@H]9%10,144204127,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(O)C(C)CN(C(C)=O)c1c(I)cc(I)c(N)c1I,144204131,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)CC(=O)O[C@@H]1[C@H](C)O[C@H](C[C@@]1(C)O)O[C@@H]3[C@@H](C)O[C@@H](O[C@@H]2C(OC)[C@H](OC(C)=O)CC(=O)O[C@H](C)CC=CC=C[C@H](O)[C@H](C)C[C@@H]2CC=O)[C@H](O)[C@H]3N(C)C,144204134,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
[O-][N+](=O)c1cnc(s1)N2CCNC2=O,144203894,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CC(=O)N[C@H]3CCc2cc(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)c(OC)c(OC)c2C4=CC=C(SC)C(=O)C=C34,144204021,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.Cl.OCCN1CCN(CC1)CC\C=C2\c4ccccc4Sc3ccc(Cl)cc23,144204024,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C(NN1C(C)CCCC1C)c2ccc(Cl)c(c2)S(N)(=O)=O,144204026,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
C[C@]23CCC=C(C)CC[C@H]1C(=C)C(=O)O[C@@H]1[C@@H]3O2,144204140,PUBCHEM_SID,HEK293_KIDNEY,1.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C2NC(=O)N(CCC)c1ncnc12,144203783,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
C1CCCc2nnnn2C1,144203785,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
CCC1(C)CC(=O)NC(=O)C1,144203903,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O=C1CCC4=C(C1)CC[C@@H]3[C@@H]4CC[C@@]2(C)[C@H]3CC[C@@]2(O)C#C,144203910,PUBCHEM_SID,HEK293_KIDNEY,1.0,1.0,0.0,1.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
O[C@@H]1CC(=O)[C@H](CCCCCCC(=O)O)[C@H]1/C=C/[C@@H](O)CCCCC,144204033,PUBCHEM_SID,HEK293_KIDNEY,0.0,1.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
Cl.O[C@@H]1[C@@H](O)[C@@H](O)[C@H](O[C@@H]1SC)[C@H](NC(=O)[C@@H]2C[C@@H](CCC)CN2C)[C@H](C)Cl,144204142,PUBCHEM_SID,HEK293_KIDNEY,0.0,0.0,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
